Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
TELL,Tellurian Inc. Common Stock,$1.29,-0.09,-6.522%,726938758.00,United States,,8088544,Finance,Investment Bankers/Brokers/Service
TELZ,Tellurian Inc. 8.25% Senior Notes due 2028,$16.60,-0.2882,-1.707%,0.00,United States,,2120,Energy,Oil & Gas Production
TGB,Taseko Mines Ltd. Common Stock,$1.43,-0.18,-11.18%,412435732.00,Canada,,2314071,,
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$0.549,-0.0006,-0.109%,107226938.00,Canada,,219295,,
TKAT,Takung Art Co. Ltd. Common Stock,$0.5999,0.0129,2.198%,20991632.00,,,34782,Consumer Discretionary,Catalog/Specialty Distribution
TMBR,Timber Pharmaceuticals Inc. Common Stock,$1.43,0.03,2.143%,4300897.00,United States,2015,10984,Health Care, Medicinal Chemicals and Botanical Products 
TMP,Tompkins Financial Corporation Common Stock,$52.21,-1.12,-2.10%,761819657.00,United States,1997,61766,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$0.5998,-0.0303,-4.809%,92871577.00,Canada,,429826,,
TOVX,Theriva Biologics Inc. Common Stock,$0.73,0.0897,14.009%,11040565.00,United States,,71890,Health Care,Biotechnology: Pharmaceutical Preparations
TPET,Trio Petroleum Corp. Common Stock,$1.87,-0.13,-6.50%,0.00,,2023,95082,Energy,Oil & Gas Production
TPHS,Trinity Place Holdings Inc. Common Stock,$0.29,-0.01,-3.333%,10777310.00,,,114102,Real Estate,Real Estate
TRT,Trio-Tech International Common Stock,$4.30,0.00,0.00%,17529724.00,United States,1998,9238,Technology,Industrial Machinery/Components
TRX,TRX Gold Corporation Common Stock,$0.5613,0.0016,0.286%,155443739.00,Canada,,837210,Basic Materials,Precious Metals
UAMY,United States Antimony Corporation Common Stock,$0.3337,-0.0013,-0.388%,35496784.00,United States,,284865,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,$0.37,0.00,0.00%,33696409.00,United States,,410200,Industrials,Aerospace
UEC,Uranium Energy Corp. Common Stock,$2.51,0.06,2.449%,942232665.00,Canada,,4175379,Basic Materials,Other Metals and Minerals
UFAB,Unique Fabricating Inc. Common Stock,$0.1586,-0.0164,-9.371%,1860877.00,United States,2015,1222992,Consumer Discretionary,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$0.8723,0.0137,1.596%,230921191.00,Canada,,914499,,
USAS,Americas Gold and Silver Corporation Common Shares no par value,$0.542,0.002,0.37%,113208970.00,,2017,470300,Basic Materials,Metal Mining
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$28.37,0.01,0.035%,0.00,United States,2004,134809,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$2.00,0.06,3.093%,4625774.00,United States,2003,6825,Technology,Security Systems Services
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$5.68,0.13,2.342%,897607060.00,,,1194605,,
VFL,Delaware Investments National Municipal Income Fund Common Stock,$10.41,0.06,0.58%,0.00,United States,1993,14624,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.7468,-0.002,-0.267%,89169768.00,United States,1986,199657,,
VHAQ,Viveon Health Acquisition Corp. Common Stock,$11.00,0.00,0.00%,75636275.00,,2021,1438,Industrials,Consumer Electronics/Appliances
VINE,Fresh Vine Wine Inc. Common Stock,$0.53,0.0577,12.217%,8414400.00,,2021,69284,Consumer Staples,Beverages (Production/Distribution)
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$8.47,0.02,0.237%,376118989.00,United States,1993,94352,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$2.02,0.04,2.02%,127455467.00,Singapore,2015,237950,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VZLA,Vizsla Silver Corp. Common Shares,$1.48,0.04,2.778%,307458455.00,,2022,118767,,
WLMS,Williams Industrial Services Group Inc. Common Stock,$0.9389,0.0288,3.164%,25405054.00,,2021,4969,Industrials,Engineering & Construction
WRAC,Williams Rowland Acquisition Corp. Common Stock,$10.26,0.00,0.00%,0.00,,2021,70,Industrials,Consumer Electronics/Appliances
WRN,Western Copper and Gold Corporation Common Stock,$1.80,0.11,6.509%,289708177.00,Canada,2011,123227,Basic Materials,Metal Mining
WTT,Wireless Telecom Group  Inc. Common Stock,$1.79,0.02,1.13%,38254174.00,United States,1993,2853,Telecommunications,Telecommunications Equipment
WWR,Westwater Resources Inc. Common Stock,$0.90,-0.11,-10.891%,44999783.00,United States,,1129536,Basic Materials,Other Metals and Minerals
WYY,WidePoint Corporation Common Stock,$1.79,-0.01,-0.556%,15618602.00,United States,,9933,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.636,0.0228,3.718%,41213673.00,United States,,41524,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$0.6399,0.0397,6.614%,69683221.00,United States,,6075,Health Care,Medical Specialities
YCBD,cbdMD Inc. Common Stock,$1.97,0.04,2.073%,2869518.00,United States,2017,214163,Health Care,Biotechnology: Pharmaceutical Preparations
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$3.01,0.01,0.333%,,United States,,4929,,
ZDGE,Zedge Inc. Class B Common Stock ,$1.90,-0.05,-2.564%,27886040.00,,2016,28677,Technology,Internet and Information Services
ZOM,Zomedica Corp. Common Shares,$0.2008,0.0058,2.974%,196773893.00,United States,2017,2142586,Health Care,Pharmaceuticals and Biotechnology
