Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.77,0.04,1.072%,0.00,United States,2005,678411,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$22.45,-0.36,-1.578%,,United States,,8149,,
GLDG,GoldMining Inc. Common Shares,$1.10,0.05,4.762%,185048035.00,,,2054126,,
GLO,Clough Global Opportunities Fund Common Stock,$4.65,-0.04,-0.853%,0.00,United States,2006,169854,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$5.79,-0.08,-1.363%,0.00,United States,2005,91072,Finance,Finance/Investors Services
GLTA,Galata Acquisition Corp. Class A Ordinary Shares,$10.46,0.00,0.00%,0.00,,2021,4,Consumer Discretionary,Rental/Leasing Companies
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$13.96,-0.25,-1.759%,83325998.00,United States,2004,22488,Finance,Finance/Investors Services
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$49.95,0.23,0.463%,,United States,,733,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$5.55,-0.08,-1.421%,70538186.00,United States,2004,58012,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$1.01,-0.10,-9.009%,24937570.00,,2022,2223596,Consumer Discretionary,Educational Services
GORO,Gold Resource Corporation Common Stock,$0.97,0.04,4.301%,85746166.00,United States,,360545,Basic Materials,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$8.29,-0.30,-3.492%,0.00,United States,,703,Finance,Finance/Investors Services
GRFX,Graphex Group Limited American Depositary Shares each American Depositary Share representing 20 Ordinary Shares,$1.19,-0.09,-7.031%,46222620.00,,2022,18248,,
GROY,Gold Royalty Corp. Common Shares,$2.32,0.12,5.455%,333878320.00,,2021,810991,,
GSAT,Globalstar Inc. Common Stock,$0.9374,0.0048,0.515%,1697631400.00,United States,2006,5127932,Consumer Discretionary,Telecommunications Equipment
GTE,Gran Tierra Energy Inc. Common Stock,$0.6044,-0.0556,-8.424%,20828454.00,Canada,,4767754,Energy,Oil & Gas Production
HNRA,HNR Acquisition Corp Common Stock,$10.55,0.01,0.095%,0.00,,2022,104761,Industrials,Consumer Electronics/Appliances
HNW,Pioneer Diversified High Income Fund Inc.,$9.96,-0.02,-0.20%,0.00,United States,2007,62474,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$2.13,0.04,1.914%,22625963.00,United States,,57995,Energy,Oil & Gas Production
IAF,abrdn Australia Equity Fund Inc. Common Stock,$4.32,-0.02,-0.461%,0.00,United States,1985,28051,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$2.63,0.03,1.154%,649113722.00,,2022,2928920,,
IBIO,iBio Inc. Common Stock,$1.06,-0.03,-2.752%,13111303.00,United States,,120205,Health Care,Biotechnology: Pharmaceutical Preparations
ID,PARTS iD Inc. Class A Common Stock,$0.4263,0.022,5.442%,14841339.00,United States,2017,112421,Consumer Discretionary,Auto Parts:O.E.M.
IDR,Idaho Strategic Resources Inc. Common Stock,$5.92,0.19,3.316%,72558616.00,,2022,13133,Basic Materials,Precious Metals
IDW,IDW Media Holdings Class B Common Stock,$0.3952,-0.0012,-0.303%,5583303.00,,2021,9299,Consumer Discretionary,Newspapers/Magazines
IE,Ivanhoe Electric Inc. Common Stock,$11.98,0.12,1.012%,1113802943.00,,2022,494566,Basic Materials,Metal Mining
IGC,IGC Pharma Inc. Common Stock,$0.332,0.00,0.00%,17621709.00,United States,,101724,Consumer Discretionary,Engineering & Construction
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$1.34,0.04,3.077%,12217467.00,United States,1999,134246,Finance,Investment Bankers/Brokers/Service
IMO,Imperial Oil Limited Common Stock,$44.46,-1.25,-2.735%,25971429842.00,Canada,1929,937385,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$4.46,0.04,0.905%,45236415.00,,2019,73692,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$8.48,-0.27,-3.086%,177183232.00,United States,,53995,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,$4.09,0.05,1.238%,,,2022,628,Technology,EDP Services
INTT,inTest Corporation Common Stock,$19.05,-0.78,-3.933%,211861889.00,United States,1997,148609,Technology,Semiconductors
INUV,Inuvo Inc.,$0.2973,0.0073,2.517%,36095819.00,United States,,351587,Consumer Discretionary,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$10.75,0.00,0.00%,44810451.00,United States,1987,47,Finance,Diversified Financial Services
IPVF,InterPrivate III Financial Partners Inc. Class A Common Stock,$10.28,0.00,0.00%,96250879.00,,2021,22188,Industrials,Consumer Electronics/Appliances
ISDR,Issuer Direct Corporation Common Stock,$19.86,-0.46,-2.264%,75289657.00,United States,,3485,Technology,EDP Services
ITP,IT Tech Packaging Inc. Common Stock,$0.5149,0.0081,1.598%,5182942.00,China,,16025,Basic Materials,Paper
ITRG,Integra Resources Corp. Common Shares,$0.54,0.0194,3.726%,43072392.00,,,58384,Basic Materials,Precious Metals
JOB,GEE Group Inc. Common Stock,$0.4872,-0.0028,-0.571%,55760262.00,United States,1968,210228,Consumer Discretionary,Diversified Commercial Services
JWSM,Jaws Mustang Acquisition Corp. Class A Ordinary Shares,$10.14,0.04,0.396%,0.00,,2021,702,Finance,Blank Checks
KIQ,Kelso Technologies Inc Ordinary Shares,$0.26,-0.0025,-0.952%,14123222.00,Canada,,93672,,
KNW,Know Labs Inc. Common Stock,$0.98,-0.0044,-0.447%,47243778.00,,2022,38247,Industrials,Industrial Machinery/Components
KULR,KULR Technology Group Inc. Common Stock,$0.7799,0.0199,2.618%,90647873.00,United States,,252777,,
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$1.40,-0.06,-4.11%,209973886.00,United States,,269244,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$27.88,0.29,1.051%,408131026.00,United States,2014,72128,,
LGL,LGL Group Inc. (The) Common Stock,$4.5601,0.1801,4.112%,24409928.00,United States,1946,3514,Technology,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$145.26,1.73,1.205%,35369922752.00,United States,2001,1631969,Utilities,Oil/Gas Transmission
LODE,Comstock Inc. Common Stock,$0.60,0.005,0.84%,61821091.00,United States,,604100,Finance,Real Estate
LPTV,Loop Media Inc. Common Stock,$4.44,-0.22,-4.721%,250332568.00,,2022,47831,Industrials,Broadcasting
LSF,Laird Superfood Inc. Common Stock,$0.90,0.00,0.00%,8297550.00,,2020,3775,Consumer Staples,Specialty Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$14.61,-0.45,-2.988%,393519956.00,United Kingdom,2012,147072,Industrials,Metal Fabrications
MAG,MAG Silver Corporation Ordinary Shares,$13.38,0.09,0.677%,1376167842.00,Canada,,672359,Basic Materials,Precious Metals
MAIA,MAIA Biotechnology Inc. Common Stock,$2.76,0.09,3.371%,30350075.00,,2022,31896,Health Care,Biotechnology: Pharmaceutical Preparations
MGLD,The Marygold Companies Inc. Common Stock,$1.57,0.00,0.00%,61909526.00,,2022,92,Finance,Finance/Investors Services
MHH,Mastech Digital Inc Common Stock,$9.25,-0.12,-1.281%,107674644.00,United States,,35305,Consumer Discretionary,Professional Services
MIMO,Airspan Networks Holdings Inc. Common Stock,$0.49,-0.0174,-3.429%,36545666.00,,2020,12274,Consumer Discretionary,Telecommunications Equipment
MITQ,Moving iMage Technologies Inc. Common Stock,$0.9246,-0.0754,-7.54%,10090631.00,United States,2021,199507,Telecommunications,Telecommunications Equipment
MLSS,Milestone Scientific Inc. Common Stock,$0.7501,0.0242,3.334%,52505894.00,United States,2015,43968,Health Care,Industrial Specialties
MNK,Mallinckrodt plc Ordinary Shares,$5.43,-0.03,-0.549%,71518161.00,,2022,5532,Health Care,Pharmaceuticals and Biotechnology
MPTI,M-tron Industries Inc. Common Stock,$11.70,0.00,0.00%,31903537.00,,2022,3262,,
MPU,Mega Matrix Corp. Common Stock,$1.67,0.06,3.727%,52711970.00,United States,1998,19698,Consumer Discretionary,Transportation Services
MSN,Emerson Radio Corporation Common Stock,$0.5389,0.0085,1.603%,11339885.00,United States,1994,1024,Consumer Staples,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$5.23,0.01,0.192%,270743899.00,,,155305,,
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.61,0.0188,3.18%,132531361.00,United States,2017,43154,Health Care,Biotechnology: Pharmaceutical Preparations
MWG,Multi Ways Holdings Limited Ordinary Shares,$0.9969,-0.2331,-18.951%,0.00,,2023,4907058,Consumer Discretionary,Miscellaneous manufacturing industries
MXC,Mexco Energy Corporation Common Stock,$10.8378,0.00,0.00%,23214568.00,United States,2003,616,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,$0.5298,0.0208,4.086%,11084323.00,United States,2017,206693,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.2169,0.0007,0.324%,114909149.00,Canada,,1834595,Basic Materials,Precious Metals
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,$0.18,-0.0156,-7.975%,5913225.00,United States,,381519,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$10.35,0.03,0.291%,0.00,United States,2002,52479,Finance,Finance/Investors Services
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$9.69,0.16,1.679%,0.00,United States,2002,6753,Finance,Finance/Investors Services
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$10.90,0.066,0.609%,0.00,United States,2002,3842,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$1.00,-0.03,-2.913%,2035444.00,United States,2007,76060,Health Care,Biotechnology: Pharmaceutical Preparations
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$69.625,-1.245,-1.757%,249092907.00,United States,,1276,Finance,Real Estate
NEWP,New Pacific Metals Corp. Common Shares,$2.525,-0.035,-1.367%,396549419.00,,2021,184352,,
NFGC,New Found Gold Corp Common Shares,$5.14,0.30,6.198%,901440484.00,,2021,345305,,
NG,Novagold Resources Inc.,$5.68,0.14,2.527%,1897021611.00,Canada,2003,1229186,,
NGD,New Gold Inc.,$1.39,-0.03,-2.113%,949092000.00,Canada,,10219389,,
NHC,National HealthCare Corporation Common Stock,$55.75,-0.95,-1.675%,856062937.00,United States,1986,38889,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$8.81,-0.01,-0.113%,0.00,United States,,51503,Finance,Trusts Except Educational Religious and Charitable
NHWK,NightHawk Biosciences Inc. Common Stock,$0.7214,-0.0086,-1.178%,18791899.00,United States,2022,27365,Health Care,Biotechnology: Pharmaceutical Preparations
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,$6.11,-0.09,-1.452%,0.00,,2013,181937,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$1.23,-0.03,-2.381%,14311050.00,United States,,15855,Health Care,Biotechnology: Pharmaceutical Preparations
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,$2.88,-0.02,-0.69%,0.00,United States,2003,169865,Finance,Finance/Investors Services
NSTB,Northern Star Investment Corp. II Class A Common stock,$10.09,0.08,0.799%,121823805.00,,2021,17719,Industrials,Consumer Electronics/Appliances
NTIP,Network-1 Technologies Inc. Common Stock,$2.20,0.05,2.326%,52398511.00,United States,,552,Technology,Interactive Media
OBE,Obsidian Energy Ltd. Common Shares,$5.95,0.05,0.847%,490531150.00,,2022,533786,Energy,Oil & Gas Production
OGEN,Oragenics Inc. Common Stock,$2.65,0.02,0.76%,5365341.00,United States,,7663,Health Care,Biotechnology: Pharmaceutical Preparations
OPTT,Ocean Power Technologies Inc. Common Stock,$0.5002,0.0102,2.082%,28118107.00,United States,2007,155543,Industrials,Industrial Machinery/Components
ORLA,Orla Mining Ltd. Common Shares,$4.69,0.13,2.851%,1438237328.00,,2020,334615,,
OZ,Belpointe PREP LLC Class A Units,$93.89,-0.07,-0.074%,0.00,,,1735,,
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$22.1106,-0.2494,-1.115%,,United States,,3736,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$19.00,0.04,0.211%,,United States,,1284,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$17.28,-0.02,-0.116%,,United States,,210,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$17.15,-0.28,-1.606%,,United States,,2236,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$17.20,0.00,0.00%,,United States,,3,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$15.80,-0.30,-1.863%,,United States,,425,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$15.41,0.08,0.522%,,United States,,364,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$14.85,0.35,2.414%,,United States,,3807,,
PED,Pedevco Corp. Common Stock,$0.8728,-0.0002,-0.023%,75968745.00,United States,,117170,,
